Date|Open|High|Low|Close|Volume|Market Cap
Feb 02, 2017|0.127943|0.139087|0.110564|0.112722|22,172|407,057
Feb 01, 2017|0.135293|0.155163|0.126281|0.130516|72,660|430,257
Jan 31, 2017|0.104027|0.221449|0.092463|0.135314|623,641|330,680
Jan 30, 2017|0.070047|0.138573|0.065492|0.108485|146,186|222,563
Jan 29, 2017|0.065234|0.078114|0.064546|0.070048|7,697|207,176
Jan 28, 2017|0.059337|0.067801|0.056913|0.065208|2,008|188,362
Jan 27, 2017|0.056155|0.061973|0.053103|0.059340|3,314|178,181
Jan 26, 2017|0.057569|0.058235|0.055064|0.057776|817|182,585
Jan 25, 2017|0.057626|0.059984|0.055905|0.057553|694|182,688
Jan 24, 2017|0.065153|0.065153|0.057318|0.057601|3,010|206,457
Jan 23, 2017|0.067912|0.069575|0.064518|0.064989|415|215,107
Jan 22, 2017|0.067935|0.068724|0.063449|0.067842|1,375|215,082
Jan 21, 2017|0.068760|0.070410|0.066543|0.067938|1,190|217,593
Jan 20, 2017|0.071391|0.071391|0.064726|0.070026|1,522|225,816
Jan 19, 2017|0.066240|0.077131|0.063600|0.071420|4,453|209,416
Jan 18, 2017|0.067123|0.069331|0.062098|0.065967|1,370|212,096
Jan 17, 2017|0.063269|0.074696|0.060061|0.067079|3,532|199,811
Jan 16, 2017|0.062725|0.072498|0.061899|0.063628|2,020|197,993
Jan 15, 2017|0.058933|0.064631|0.057715|0.062727|1,797|185,925
Jan 14, 2017|0.056009|0.060406|0.054799|0.058955|1,323|176,605
Jan 13, 2017|0.055346|0.056446|0.053793|0.055932|138|174,420
Jan 12, 2017|0.052136|0.056818|0.051207|0.055380|1,113|164,218
Jan 11, 2017|0.061122|0.063286|0.050908|0.052212|1,750|192,429
Jan 10, 2017|0.061871|0.065867|0.056786|0.061116|4,726|194,689
Jan 09, 2017|0.057918|0.074320|0.052023|0.061903|31,413|182,161
Jan 08, 2017|0.055299|0.058675|0.053436|0.057828|368|173,840
Jan 07, 2017|0.051567|0.055781|0.047666|0.055299|3,173|162,026
Jan 06, 2017|0.057171|0.059057|0.049648|0.051494|353|179,540
Jan 05, 2017|0.064756|0.072454|0.050728|0.057015|2,049|203,263
Jan 04, 2017|0.065785|0.067158|0.061814|0.064690|652|206,388
Jan 03, 2017|0.065536|0.066354|0.062956|0.065800|155|205,508
Jan 02, 2017|0.063058|0.066442|0.062916|0.065539|142|197,646
Jan 01, 2017|0.058706|0.066574|0.056710|0.063023|1,505|183,921
Dec 31, 2016|0.059087|0.059677|0.057353|0.058697|386|185,032
Dec 30, 2016|0.058330|0.059592|0.056905|0.059079|1,261|182,575
Dec 29, 2016|0.060353|0.060568|0.055425|0.058335|408|188,819
Dec 28, 2016|0.059745|0.061585|0.058022|0.060344|1,172|186,831
Dec 27, 2016|0.062015|0.064373|0.058254|0.059710|615|193,843
Dec 26, 2016|0.058827|0.062473|0.058455|0.061976|685|183,797
Dec 25, 2016|0.064274|0.064805|0.054526|0.058854|1,061|200,728
Dec 24, 2016|0.066466|0.066574|0.062531|0.064252|253|207,486
Dec 23, 2016|0.066042|0.070750|0.062969|0.066429|750|206,073
Dec 22, 2016|0.064326|0.067844|0.063770|0.066070|3,589|200,629
Dec 21, 2016|0.064348|0.068976|0.062682|0.064151|867|200,604
Dec 20, 2016|0.064632|0.066315|0.060952|0.064374|2,060|201,402
Dec 19, 2016|0.068447|0.069207|0.063122|0.064641|1,374|213,195
Dec 18, 2016|0.070135|0.072663|0.068388|0.068422|1,198|218,357
Dec 17, 2016|0.071506|0.073597|0.069472|0.070134|1,552|222,529
Dec 16, 2016|0.068664|0.072761|0.068523|0.071506|1,692|213,588
Dec 15, 2016|0.066536|0.070733|0.065699|0.068371|629|206,872
Dec 14, 2016|0.064256|0.067748|0.063286|0.066512|387|199,694
Dec 13, 2016|0.066753|0.068022|0.063657|0.064340|365|207,363
Dec 12, 2016|0.067889|0.068869|0.066708|0.066761|206|210,795
Dec 11, 2016|0.072379|0.072389|0.057334|0.067868|1,453|224,639
Dec 10, 2016|0.071009|0.072541|0.069623|0.072379|274|220,287
Dec 09, 2016|0.068407|0.071427|0.064911|0.070992|908|212,121
Dec 08, 2016|0.069208|0.069903|0.055459|0.068421|1,509|214,510
Dec 07, 2016|0.068351|0.069694|0.062978|0.069210|958|211,759
Dec 06, 2016|0.069726|0.070641|0.063856|0.068351|2,122|215,918
Dec 05, 2016|0.070682|0.071248|0.069209|0.069723|543|218,782
Dec 04, 2016|0.067953|0.082284|0.066980|0.070650|3,876|210,236
Dec 03, 2016|0.064842|0.070244|0.062651|0.067949|1,448|200,520
Dec 02, 2016|0.064491|0.066211|0.064491|0.064823|437|199,341
