#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
155|Matchpool|GUP|$18,841,515|$0.251220|75,000,000|$346,208|-0.09%|-9.01%|-6.77%|True|False
156|OpenAnx|OAX|$18,819,453|$0.752500|25,009,250|$688,947|0.12%|-10.43%|-33.65%|True|False
157|Soarcoin|SOAR|$18,671,113|$0.028165|662,908,369|$14,145|-1.50%|-1.38%|-37.62%|True|False
158|YbCoin|YBC|$18,580,860|$6.15|3,020,482|$5,623,319|-0.19%|-7.46%|13.52%|True|False
159|Synereo|AMP|$18,464,801|$0.224479|82,256,324|$1,339,652|0.15%|-1.85%|3.25%|True|False
160|SuperNET|UNITY|$18,420,553|$22.57|816,061|$564|-0.21%|-22.58%|-17.89%|True|False
161|Primas|PST|$18,416,080|$0.359689|51,200,000|$4,684,593|0.11%|-13.66%|?|True|False
162|Golos|GOLOS|$18,414,215|$0.147883|124,518,891|$21,199|-0.17%|-8.26%|-12.78%|False|False
163|Nexium|NXC|$18,240,971|$0.274211|66,521,586|$93,144|-0.11%|-6.49%|13.84%|True|False
164|Burst|BURST|$18,211,327|$0.010115|1,800,339,818|$1,100,740|0.30%|-9.45%|42.71%|False|False
165|Omni|OMNI|$18,025,412|$32.21|559,658|$192,750|0.44%|-8.40%|-9.56%|True|False
166|Quantum|QAU|$17,955,917|$0.222989|80,523,807|$126,788|0.20%|4.34%|7.20%|True|False
167|iXledger|IXT|$17,902,787|$0.500374|35,778,844|$215,494|-0.26%|-14.72%|11.69%|True|False
168|Databits|DTB|$17,543,833|$0.771232|22,747,809|$85,490|0.48%|-9.41%|-7.97%|True|False
169|Agoras Tokens|AGRS|$17,445,077|$0.415359|42,000,000|$23,166|-0.03%|-2.12%|-2.35%|True|False
170|SaluS|SLS|$17,241,720|$17.17|1,004,125|$6,963|0.05%|-3.87%|1.62%|True|False
171|Wagerr|WGR|$17,102,486|$0.093456|183,000,000|$125,807|0.93%|7.57%|-27.56%|True|False
172|RaiBlocks|XRB|$16,794,115|$0.153699|109,266,429|$75,114|0.17%|-6.66%|2.82%|False|False
173|OBITS|OBITS|$16,786,652|$1.06|15,851,900|$249,100|4.42%|-1.95%|32.68%|True|False
174|Waves Communi...|WCT|$16,358,093|$1.82|8,996,338|$5,644|0.05%|-4.66%|11.80%|True|False
175|Energycoin|ENRG|$16,277,048|$0.134310|121,190,330|$63,927|2.05%|-1.56%|39.58%|False|False
176|GridCoin|GRC|$15,903,185|$0.040745|390,312,753|$99,873|0.06%|-4.11%|3.46%|False|False
177|Rubycoin|RBY|$15,768,755|$0.637826|24,722,659|$28,623|0.01%|-1.51%|6.58%|True|False
178|Ecobit|ECOB|$15,287,072|$0.034396|444,444,444|Low Vol|-0.41%|-1.36%|-5.54%|True|False
179|Mooncoin|MOON|$15,056,994|$0.000068|222,257,937,823|$14,074|-1.44%|-12.50%|-11.14%|False|False
180|bitCNY|BITCNY|$14,620,056|$0.152760|95,705,940|$722,014|0.46%|3.96%|4.49%|True|False
181|Swarm City|SWT|$14,513,310|$1.90|7,620,712|$59,440|-0.23%|-4.27%|-4.82%|True|False
182|PinkCoin|PINK|$14,466,884|$0.041447|349,046,847|$5,288,976|1.90%|28.43%|216.00%|False|False
183|E-coin|ECN|$14,315,115|$3.76|3,803,177|$263,971|-0.40%|-7.30%|-2.06%|False|False
184|NeosCoin|NEOS|$14,287,593|$4.12|3,470,562|$347,093|-0.03%|-9.23%|4.10%|False|False
185|Bankcoin|B@|$14,221,198|$1.24|11,513,848|Low Vol|0.09%|?|71.69%|True|False
186|E-Currency Coin|ECC|$14,151,359|$0.000569|24,863,478,109|$22,415|0.40%|-8.47%|89.13%|False|False
187|Diamond|DMD|$13,865,033|$6.13|2,261,523|$58,122|0.14%|-3.19%|0.65%|False|False
188|XCurrency|XC|$13,686,179|$2.34|5,842,276|$16,685|3.91%|-18.32%|166.65%|True|False
189|E-Dinar Coin|EDR|$13,468,773|$0.015198|886,211,988|$793,974|0.45%|3.75%|20.96%|False|False
190|Aeon|AEON|$13,411,716|$0.915404|14,651,140|$52,010|-0.09%|-8.10%|-15.02%|False|False
191|BCAP|BCAP|$13,290,601|$1.33|10,000,000|$176,382|0.23%|-5.70%|20.14%|True|False
192|Voxels|VOX|$12,915,568|$0.061503|210,000,000|$188,751|0.15%|-7.07%|5.18%|True|False
193|Pluton|PLU|$12,402,963|$14.59|850,000|$146,550|0.44%|-6.07%|19.44%|True|False
194|EarthCoin|EAC|$12,295,130|$0.001082|11,361,709,035|$703,112|-0.19%|-7.65%|0.48%|False|False
195|Nimiq|NET|$11,934,693|$1.14|10,500,000|$177,678|0.41%|2.07%|-21.96%|True|False
196|FlorinCoin|FLO|$11,864,447|$0.086706|136,834,881|$232,704|0.31%|-13.08%|3.53%|False|False
197|Gambit|GAM|$11,624,537|$9.75|1,191,948|$14,728|-0.10%|2.18%|8.63%|True|False
198|Spectrecoin|XSPEC|$11,447,380|$0.559873|20,446,404|$135,232|0.24%|-20.26%|2.54%|True|False
199|BlockCAT|CAT|$11,169,449|$1.52|7,360,121|$122,999|-1.08%|-0.54%|-43.41%|True|False
200|DAO.Casino|BET|$11,071,720|$0.100755|109,887,057|$37,971|-0.10%|-7.34%|-16.36%|True|False
201|Feathercoin|FTC|$11,017,081|$0.063301|174,041,951|$669,365|-0.21%|-3.60%|0.22%|False|False
202|VeriCoin|VRC|$10,949,845|$0.360646|30,361,720|$728,479|1.17%|1.79%|12.92%|False|False
203|XTRABYTES|XBY|$10,784,866|$0.025557|422,000,000|$82,748|-0.22%|-13.40%|8.94%|True|False
204|Musicoin|MUSIC|$10,690,523|$0.034022|314,219,655|$487,548|-0.03%|-5.08%|-12.83%|False|False
205|Sphere|SPHR|$10,494,745|$3.40|3,082,940|$12,972|-0.06%|-7.52%|24.09%|True|False
206|PRIZM|PZM|$10,412,090|$1.22|8,561,498|$13,179|-0.01%|-6.72%|41.95%|True|False
207|Ethereum Movi...|EMV|$10,399,820|$1.56|6,666,666|$1,251|-2.93%|31.45%|158.57%|True|False
208|Groestlcoin|GRS|$10,310,423|$0.150951|68,302,973|$398,958|0.22%|-8.28%|31.60%|False|False
209|Bitcrystals|BCY|$10,307,350|$0.443357|23,248,415|$70,381|-0.06%|-5.01%|-1.63%|True|False
210|HEAT|HEAT|$9,983,604|$0.350435|28,489,189|$2,952|1.35%|9.29%|3.79%|True|False
211|Einsteinium|EMC2|$9,902,138|$0.046287|213,927,949|$164,818|0.06%|-2.69%|11.90%|False|False
212|LoMoCoin|LMC|$9,884,801|$0.046118|214,338,845|$417,603|-0.17%|-5.95%|-14.71%|True|False
213|ToaCoin|TOA|$9,781,254|$0.005773|1,694,171,566|$125,347|0.10%|-3.36%|0.86%|False|False
214|Incent|INCNT|$9,743,453|$0.211738|46,016,625|$220,450|0.30%|-8.81%|-14.80%|True|False
215|Dent|DENT|$9,118,879|$0.000860|10,604,960,960|$30,490|-0.62%|-2.85%|-28.25%|True|False
216|Bitcoin Plus|XBC|$9,109,080|$90.92|100,187|$933,142|-0.38%|11.73%|22.38%|True|False
217|Creditbit|CRB|$8,922,650|$0.751150|11,878,653|$320,203|-0.13%|-9.28%|4.77%|True|False
218|Unity Ingot|UNY|$8,922,266|$0.044170|202,000,000|$5,553|1.09%|10.52%|-70.16%|True|False
219|Blocktix|TIX|$8,849,610|$0.221240|40,000,000|$17,348|-0.13%|-19.63%|-35.74%|True|False
220|CryptoCarbon|CCRB|$8,627,737|$2.42|3,562,111|$96,403|-1.68%|-0.22%|401.95%|True|False
221|FoldingCoin|FLDC|$8,554,110|$0.016303|524,682,737|$320,818|-0.27%|-1.96%|5.40%|True|False
222|DNotes|NOTE|$8,546,082|$0.067439|126,723,762|$73,490|-0.20%|-8.94%|19.89%|False|False
223|Primecoin|XPM|$8,333,696|$0.406877|20,482,121|$373,726|-0.05%|-5.82%|-25.43%|False|False
224|Sequence|SEQ|$8,257,868|$0.183719|44,948,333|$25,133|-0.05%|-0.19%|16.60%|False|False
225|Infinitecoin|IFC|$7,862,515|$0.000087|90,596,274,910|$1,018,463|0.06%|-1.95%|-4.93%|False|False
226|Pepe Cash|PEPECASH|$7,826,312|$0.011150|701,884,009|$6,259|0.13%|-2.88%|-16.36%|True|False
227|OKCash|OK|$7,774,828|$0.107288|72,466,664|$156,921|-0.21%|-6.17%|17.82%|True|False
228|EncryptoTel|ETT|$7,733,082|$0.124464|62,131,190|$11,166|2.35%|12.73%|50.35%|True|False
229|SolarCoin|SLR|$7,684,904|$0.214578|35,814,091|$93,246|-0.10%|-3.55%|17.92%|True|False
230|Blitzcash|BLITZ|$7,641,535|$1.87|4,085,252|$146,797|0.12%|-0.40%|34.55%|True|False
231|APX|APX|$7,569,106|$9.74|777,394|$88,211|-0.49%|-11.79%|7.81%|True|False
232|NVO|NVST|$7,483,070|$0.498871|15,000,000|$2,336|0.50%|-5.62%|2.07%|True|False
233|PutinCoin|PUT|$7,378,904|$0.036786|200,589,754|$5,502|0.00%|-5.37%|-20.97%|False|False
234|Bitswift|SWIFT|$7,376,439|$1.81|4,066,048|$3,250,727|-0.62%|-18.48%|53.84%|True|False
235|BitBean|BITB|$7,363,483|$0.003502|2,102,752,667|$374,110|-0.05%|-15.26%|35.53%|True|False
236|NEVERDIE|NDC|$7,331,570|$0.178801|41,004,100|$33,089|-0.48%|-14.51%|2.92%|True|False
237|Project Decorum|PDC|$7,108,828|$0.142177|50,000,000|$9,172|0.25%|-2.97%|7.14%|True|False
238|MyBit Token|MYB|$7,012,893|$2.77|2,530,116|$30,971|0.00%|-4.49%|-8.53%|True|False
239|TrueFlip|TFL|$6,942,246|$1.11|6,247,267|$17,058|2.32%|-11.48%|-14.26%|True|False
